halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
0.00195925,La Silla Observatory,2455313.556,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.255875138,0.004613282,HARPS,HD72659,NaN,84.5078,41.2,-27.95664983,2.517,0.399678157,5.948,ThAr,Trifonov
0.001437032,La Silla Observatory,2455315.557,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.235426766,0.004250423,HARPS,HD72659,NaN,84.7063,52,-28.03335317,2.146,0.396200657,5.796,ThAr,Trifonov
0.000773994,La Silla Observatory,2455321.471,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.252404389,0.00767548,HARPS,HD72659,NaN,180.0008,97.4,-27.88507641,1.275,0.396024807,2.473,ThAr,Trifonov
0.000990045,La Silla Observatory,2455324.478,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.255246684,0.012339877,HARPS,HD72659,NaN,180.005,76.5,-27.82273225,1.418,0.396539183,4.808,ThAr,Trifonov
0.000835502,La Silla Observatory,2455326.466,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.252451476,0.010575636,HARPS,HD72659,NaN,180.0073,91.1,-27.7010474,1.31,0.396153689,5.399,ThAr,Trifonov
0.000786292,La Silla Observatory,2455334.517,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.253828741,0.014377854,HARPS,HD72659,NaN,180.0061,93.8,-27.09582136,1.343,0.397365081,7.508,ThAr,Trifonov
0.001695421,La Silla Observatory,2455338.471,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.264021853,0.000196513,HARPS,HD72659,NaN,60.0062,45.9,-26.45704868,2.257,0.399887448,3.862,ThAr,Trifonov
0.001643647,La Silla Observatory,2455351.445,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248931853,0.007354278,HARPS,HD72659,NaN,120.0071,46.4,-23.87009696,2.313,0.398022219,3.594,ThAr,Trifonov
0.000876225,La Silla Observatory,2455354.438,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.256178822,0.005932594,HARPS,HD72659,NaN,120.0064,85.3,-23.11294249,1.399,0.394271789,5.773,ThAr,Trifonov
0.001136226,La Silla Observatory,2455530.789,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.254768442,0.005311348,HARPS,HD72659,NaN,84.5052,66.7,25.53580502,1.693,0.390700558,24.402,ThAr,Trifonov
0.001221024,La Silla Observatory,2455532.812,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.256745255,0.007305557,HARPS,HD72659,NaN,58.9077,63.1,25.0110255,1.652,0.393615978,26.843,ThAr,Trifonov
0.000472029,La Silla Observatory,2456382.621,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.260213366,0.009711476,HARPS,HD72659,NaN,445.8204,158.8,-24.02739565,0.906,0.396169466,21.497,ThAr,Trifonov
0.001473257,La Silla Observatory,2456814.453,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.263924294,0.006648469,HARPS,HD72659,NaN,90.0006,52.4,-23.38296225,2.067,0.39180424,3.731,ThAr,Trifonov
